Song Id,Song,angry,disgust,fear,happy,sad,surprise,neutral,class
63,Crazy Dil-Sonu Nigam (Crazy Dil),7.906168549,0.260642919,18.24500434,22.67593397,30.92962641,3.12771503,16.7680278,Class_Ha
64,Darde disco,18.84328358,0,23.32089552,1.865671642,39.36567164,7.462686567,8.955223881,Class_Ha
65,Dhire dhire se meri zindagi mein aana,9.230769231,0,7.179487179,8.974358974,53.93162393,1.367521368,19.23076923,Class_Ca
66,Dhushman tu meri ,36.30136986,0,3.767123288,2.226027397,33.56164384,0,23.97260274,Class_Sa
67,Didi tera devar deevana,6.698357822,0,7.260155575,32.3681936,40.4494382,1.210025929,11.97061366,Class_Ha
68,Dil chori sada ho gya,7.9458505,0,4.208357858,26.13301942,52.76633314,0.706297822,8.210712184,Class_Ha
69,Dil de Diya hai Jaan bhi denge,11.11111111,0,34.92063492,7.142857143,30.15873016,6.349206349,9.523809524,Class_Sa
70,Dil Dia hai Jaan bhi denge,23.55008787,0,9.13884007,9.490333919,40.77328647,3.866432337,13.00527241,Class_Ha
71,Dil Dian gallan ,6.129032258,0,12.25806452,18.38709677,56.12903226,0,6.774193548,Class_Ca
72,Dil ne ye kaha hai Dil se,10.09036145,0,21.68674699,15.6626506,22.89156627,14.0060241,15.51204819,Class_Ca
73,Dil Sambhal ja Jara,20.64516129,0,12.25806452,13.5483871,31.61290323,0,21.29032258,Class_Ca
74,Dj wale Babu,19.72920696,0.193423598,8.123791103,7.543520309,46.03481625,0.386847195,17.79497099,Class_Ha
75,Dum dum udti hai dua,1.08401084,0,7.317073171,10.56910569,65.58265583,0,15.17615176,Class_Ca
76,Ek ajnabi Haseena se,11.33828996,0,5.94795539,15.79925651,44.42379182,0.185873606,22.11895911,Class_Ha
77,Ek do teen char,11.52968037,0,5.02283105,11.18721461,66.43835616,0.228310502,5.479452055,Class_Ha
78,Enna Sona,12.20238095,0,7.291666667,14.28571429,49.10714286,2.380952381,14.58333333,Class_Ca
99,Aee Meri Zindagi Tu Mere Saath Hai,32.33333333,0,2,3,49.33333333,0,13,Class_Sa
100,Hum Hain Rahi pyar k,8.683729433,0.091407678,11.24314442,35.10054845,29.89031079,2.193784278,12.70566728,Class_Ha
101,Hum mar jayenge,4.704463209,0,7.478890229,7.117008444,67.67189385,0,12.90711701,Class_Ca
102,Hum tum ( Sanson Ko Sanson me dhalne do Jara),11.35902637,0.202839757,7.505070994,21.5010142,44.01622718,2.636916836,12.57606491,Class_Ca
103,Huma huma- Bombay movie,11.86440678,0,0.847457627,19.49152542,53.38983051,0,13.55932203,Class_Ha
104,Humari adhri kahani 2 ( na jaane koi),19.74683544,0,5.569620253,1.518987342,57.46835443,0,15.44303797,Class_Sa
105,Humari adhuri kahani 1 ( rang the Noor the),10.58315335,0,6.911447084,0.863930886,72.35421166,0.647948164,8.423326134,Class_Sa
106,Humko humi se chura Lo,24.47552448,0,8.741258741,19.58041958,35.66433566,1.748251748,9.440559441,Class_Ha
107,Humnava,2.977667494,0,5.459057072,4.466501241,64.01985112,0.248138958,22.58064516,Class_Ca
108,Hzaaron khwahishe aisi,0,0,0,0,99.83361065,0,0,Class_Ca
109,Ik din tera ho jaunga,8.264802632,0.041118421,10.77302632,10.15625,61.10197368,0.575657895,9.046052632,Class_Ha
110,ik kudi,6.196213425,0,3.270223752,2.065404475,63.68330465,0.17211704,24.44061962,Class_Ca
111,Ik tara,10.26086957,0,2.260869565,24,48,0.173913043,15.13043478,Class_Ca
112,Ik Vaari Aa,10.48805815,0.10384216,3.946002077,14.22637591,60.22845275,0.10384216,10.79958463,Class_Ha
113,Illahi,11.61731207,0,7.28929385,9.111617312,46.24145786,0,25.51252847,Class_Ha
114,In dino,8.598130841,0,12.71028037,6.542056075,40.74766355,3.925233645,27.28971963,Class_Ca
115,Jaane de,0,0,25.36662703,19.81767737,54.73642489,0.039635355,0,Class_Ca
116,Jaane Kyun log pyar karte hai,6.427015251,0,11.22004357,19.06318083,49.01960784,1.525054466,12.63616558,Class_Ha
117,Jaane nahi denge tujhe ,12.74853801,0,12.16374269,12.04678363,46.08187135,1.988304094,14.85380117,Class_Sa
